Isp, "Super light", Light, Medium, Heavy, "Super heavy"
250, 17346.205036, 23913.580769, 31559.552830, 39205.524891, 46851.496952
260, 15594.507979, 21517.867766, 28434.025572, 35350.183378, 42266.341183
270, 14137.207218, 19523.264835, 25828.775141, 32134.285447, 38439.795754
280, 12911.327884, 17844.203802, 23633.286564, 29422.369326, 35211.452089
290, 11869.797961, 16416.679288, 21764.800452, 27112.921615, 32461.042779
300, 10976.896927, 15192.087912, 20160.404567, 25128.721222, 30097.037876
310, 10205.143243, 14133.012434, 18771.616346, 23410.220259, 28048.824171
320, 9533.127026, 13210.284302, 17560.604381, 21910.924460, 26261.244538
330, 8943.975706, 12400.902874, 16497.509241, 20594.115607, 24690.721974
340, 8424.251170, 11686.538921, 15558.514819, 19430.490716, 23302.466614
350, 7963.145884, 11052.443215, 14724.440466, 18396.437717, 22068.434969
360, 7551.889311, 10486.640190, 13979.699960, 17472.759731, 20965.819501
370, 7183.304317, 9979.325054, 13311.522488, 16643.719921, 19975.917355
380, 6851.471972, 9522.407969, 12709.363194, 15896.318418, 19083.273643
390, 6551.475602, 9109.165851, 12164.452549, 15219.739246, 18275.025944
400, 6279.203469, 8733.973789, 11669.448502, 14604.923215, 17540.397928
410, 6031.195256, 8392.096006, 11218.165554, 14044.235103, 16870.304651
420, 5804.521629, 8079.521775, 10805.361949, 13531.202123, 16257.042297
430, 5596.688986, 7792.835606, 10426.571194, 13060.306781, 15694.042369
440, 5405.563556, 7529.113755, 10077.967668, 12626.821581, 15175.675493
450, 5229.310504, 7285.841165, 9756.258684, 12226.676204, 14697.093724
460, 5066.344736, 7060.844332, 9458.597207, 11856.350082, 14254.102956
470, 4915.290913, 6852.236730, 9182.510838, 11512.784946, 13843.059054
480, 4774.950754, 6658.374152, 8925.843697, 11193.313241, 13460.782785
490, 4644.276149, 6477.817992, 8686.708585, 10895.599178, 13104.489772
500, 4522.346930, 6309.304861, 8463.447406, 10617.589951, 12771.732496
